index;sentence;aspect;sentiment_coded;polarity
33;One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.;Microsoft office for the mac;0;negative
34;Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.;syncing;1;positive
35;"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!";"30"" HD Monitor";1;positive
36;"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!";screen;2;neutral
37;The machine is slow to boot up and occasionally crashes completely.;boot up;0;negative
38;After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.;service;0;negative
40;I love the operating system and the preloaded software.;operating system;1;positive
41;I love the operating system and the preloaded software.;preloaded software;1;positive
42;The best thing about this laptop is the price along with some of the newer features.;price;1;positive
43;The best thing about this laptop is the price along with some of the newer features.;features;1;positive
44;After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).;clock in BIOS setup;0;negative
45;YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.;WARRANTY SERVICE;0;negative
46;but now i have realized its a problem with this brand.;brand;0;negative
47;I sent it back to Toshiba twice they covered it under the  warranty.;warranty;1;positive
48;I was looking for a mac which is portable and has all the features that I was looking for.;features;1;positive
49;Also kinda loud when the fan was running.;fan;0;negative
50;"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").";Customer Service number;2;neutral
51;"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").";warranty;0;negative
52;"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").";talking to a technician;0;negative
53;There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.;hard disc;0;negative
54;There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.;windows;0;negative
55;There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.;drivers;2;neutral
56;Drivers updated ok but the BIOS update froze the system up and the computer shut down.;Drivers;1;positive
57;Drivers updated ok but the BIOS update froze the system up and the computer shut down.;BIOS update;0;negative
58;Drivers updated ok but the BIOS update froze the system up and the computer shut down.;system;0;negative
59;Spent 2 hours on phone with HP Technical Support.;HP Technical Support;2;neutral
60;Speaking of the browser, it too has problems.;browser;0;negative
61;The keyboard is too slick.;keyboard;0;negative
62;Nightly my computer defrags itself and runs a virus scan.;virus scan;2;neutral
63;It's like 9 punds, but if you can look past it, it's GREAT!;9 punds;0;negative
64;It's just as fast with one program open as it is with sixteen open.;program;2;neutral
65;Still under warrenty so called Toshiba, no help at all.;warrenty;0;negative
66;I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.;Toshiba Warranty;0;negative
67;Amazing Quality!;Quality;1;positive
68;The fact that you can spend over $100 on just a webcam underscores the value of this machine.;webcam;2;neutral
69;The fact that you can spend over $100 on just a webcam underscores the value of this machine.;value;1;positive
70;I mainly use it for email, internet, and managing personal files (pics, vids, etc.).;internet;2;neutral
71;I mainly use it for email, internet, and managing personal files (pics, vids, etc.).;managing personal files;2;neutral
72;A month or so ago, the freaking motherboard just died.;motherboard;0;negative
73;The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.;system;0;negative
74;Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.;charger;0;negative
75;Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.;hardware;0;negative
76;If a website ever freezes (which is rare), its really easy to force quit.;force quit;1;positive
77;It rarely works and when it does it's incredibly slow.;works;0;negative
78;I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.;Windows 7;1;positive
79;I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.;VMWare program;2;neutral
80;It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!;operating system;1;positive
81;It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!;runs;1;positive
82;It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!;navigate;1;positive
83;It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!;find files;1;positive
84;Purchased a Toshiba Lap top it worked good until just after the warrenty went out.;warrenty;0;negative
85;I wanted to purchase the extended warranty and they refused, because they knew it was trouble.;extended warranty;2;neutral
86;We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.;memory;2;neutral
87;We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.;speed;1;positive
88;We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.;performace;1;positive
89;The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.;opening my Documents folder;0;negative
90;I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.;operating systems;0;negative
91;Then, within 5 months, the charger crapped out on me.;charger;0;negative
92;And if you have a iphone or ipod touch you can connect and download songs to it at high speed.;speed;1;positive
93;I love the glass touchpad.;glass touchpad;1;positive
94;  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.;hard drive;0;negative
95;  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.;mother board;0;negative
96;I am using the external speaker- sound is good.;external speaker;1;positive
97;I am using the external speaker- sound is good.;sound;1;positive
98;still testing the battery life as i thought it would be better, but am very happy with the upgrade.;battery life;0;negative
99;Then HP sends it back to me with the hardware screwed up, not able to connect.;hardware;0;negative
100;Oh yeah, don't forget the expensive shipping to and from HP.;shipping;0;negative
101;Everything is so easy to use, Mac software is just so much simpler than Microsoft software.;Mac software;1;positive
102;Everything is so easy to use, Mac software is just so much simpler than Microsoft software.;Microsoft software;0;negative
103;Everything is so easy to use, Mac software is just so much simpler than Microsoft software.;use;1;positive
104;And if you do a lot of writing, editing is a problem since there is no  forward delete  key.;delete  key;0;negative
105;And if you do a lot of writing, editing is a problem since there is no  forward delete  key.;editing;0;negative
106;Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.;use;1;positive
107;Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.;service;1;positive
108;Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.;phone assistance;1;positive
109;Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.;genius bar;1;positive
110;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.;battery life;1;positive
111;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.;battery life;1;positive
112;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.;gaming;2;neutral
113;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.;movie playing;2;neutral
114;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.;web browsing;2;neutral
115;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.;word editing;2;neutral
116;Acer has set me up with FREE recovery discs, when they are available since I asked.;recovery discs;1;positive
117;"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.";"Office Max's ""Max Assurance""";2;neutral
118;I eventually did the migration from my iMac backup disc which uses USB.;iMac backup disc;2;neutral
119;I eventually did the migration from my iMac backup disc which uses USB.;USB;2;neutral
120;The battery life seems to be very good, and have had no issues with it.;battery life;1;positive
121;Enabling the battery timer is useless.;battery timer;0;negative
122;Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.;Temperatures;2;neutral
123;Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.;Core Processing Unit temperatures;2;neutral
124;Going to bring it to service today.;service;2;neutral
125;There is no need to purchase virus protection for Mac, which saves me a lot of time and money.;virus protection for Mac;1;positive
126;But we had paid for bluetooth, and there was none.;bluetooth;0;negative
127;So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.;LG notebook service center;2;neutral
128;So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.;hinge;0;negative
129;My daughter uses it for games, email, facebook, pictures and music.;games;2;neutral
130;It is always reliable, never bugged and responds well.;responds;1;positive
131;After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.;motherboard;0;negative
132;After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.;motherboard;2;neutral
133;It was slow, locked up, and also had hardware replaced after only 2 months!;hardware;0;negative
134;they had to replace the motherboard in April;motherboard;0;negative
135;Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.;use;1;positive
136;Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.;representive at Microsoft;0;negative
137;Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.;system;0;negative
138;Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.;XP;1;positive
139;I love WIndows 7 which is a vast improvment over Vista.;WIndows 7;1;positive
140;I love WIndows 7 which is a vast improvment over Vista.;Vista;0;negative
141;Keyboard is great, very quiet for all the typing that I do.;Keyboard;1;positive
142;Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.;Dell's customer disservice;0;negative
143;It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.;cooling system;0;negative
144;It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.;use;2;neutral
145;I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.;quad core I7;1;positive
146;After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.;sales associate;1;positive
147;If you really want a bang-up system and don't need to run Windows applications, go with an Apple;;;
153;You may need to special order a bag.;bag;2;neutral
154;It's color is even cool.;color;1;positive
155;keys are all in weird places and is way too large for the way it is designed.;keys;0;negative
156;keys are all in weird places and is way too large for the way it is designed.;designed;0;negative
157;Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.;style;1;positive
158;Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.;speed;1;positive
159;The keyboard feels good and I type just fine on it.;keyboard;1;positive
160;I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.;mousepad;2;neutral
161;And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.;battery;0;negative
162;BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple;sales;1;positive
163;BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple;service;1;positive
164;BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple;DELL SUPPORT;1;positive
165;no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.;hard drive;2;neutral
166;no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.;motherboard;2;neutral
167;Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.;speed;1;positive
168;Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.;construction quality;1;positive
169;Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.;longevity;1;positive
171;"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.";keyboard;1;positive
172;"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.";keys;1;positive
173;"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.";"configuration of ""extra key""";1;positive
174;) I also tried the touch pad and compared it to other netbooks in the store.;touch pad;2;neutral
175;It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.;use;1;positive
176;It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.;security;1;positive
178;  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.;use;0;negative
179;  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.;work;0;negative
180;lots of preloaded software.;preloaded software;1;positive
181;I wish it had a webcam though, then it would be perfect!;webcam;0;negative
182;My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.;vga port;1;positive
183;My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.;screen;2;neutral
184;Another thing I might add is the battery life is excellent.;battery life;1;positive
185;One drawback, I wish the keys were backlit.;keys;0;negative
186;Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.;software;1;positive
187;I wish the volume could be louder and the mouse didnt break after only a month.;volume;0;negative
188;I wish the volume could be louder and the mouse didnt break after only a month.;mouse;0;negative
189;I play a lot of casual games online, and the touchpad is very responsive.;touchpad;1;positive
190;Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.;boots up;1;positive
191;It caught a virus that completely wiped out my hard drive in a matter of hours.;hard drive;0;negative
192;It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.;look and feel standpoint;1;positive
193;the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.;safari;0;negative
194;the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.;safari;0;negative
195;the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.;Mozzilla firfox;1;positive
196;The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.;Bluetooth;0;negative
197;The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.;fingerprint reader driver;0;negative
198;The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.;software;0;negative
199;Great battery, speed, display.;battery;1;positive
200;Great battery, speed, display.;speed;1;positive
201;Great battery, speed, display.;display;1;positive
202;The delivery was fast, and I would not hesitate to purchase this laptop again.;delivery;1;positive
203;I've been impressed with the battery life and the performance for such a small amount of memory.;battery life;1;positive
204;I've been impressed with the battery life and the performance for such a small amount of memory.;performance;1;positive
205;I've been impressed with the battery life and the performance for such a small amount of memory.;memory;0;negative
206;It's applications are terrific, including the replacements for Microsoft office.;applications;1;positive
207;It's applications are terrific, including the replacements for Microsoft office.;Microsoft office;1;positive
208;they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.;Resolution;0;negative
209;they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.;appearance;0;negative
210;they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.;cooling system;0;negative
211;they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.;graphics card;0;negative
212;I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.;built-in webcam;0;negative
213;I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.;built-in mic;0;negative
214;I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.;cam;0;negative
215;I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.;mic;0;negative
216;Is this partially due to the fact that it is running Windows Vista?;Windows Vista;2;neutral
217;  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.;board;0;negative
218;  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.;connector;0;negative
219;  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.;power supply;0;negative
220;  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.;warrenty;0;negative
221;  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.;power supply;0;negative
222;My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!;ethernet;1;positive
223;My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!;works;1;positive
224;Mostly I love the drag and drop feature.;drag and drop feature;1;positive
225;oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?;webcam;0;negative
226;I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.;sales tax;1;positive
227;Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.;software packages;1;positive
228;Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.;iWork;1;positive
229;Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.;GarageBand;1;positive
230;Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.;iMovie;1;positive
231;The screen is very large and crystal clear with amazing colors and resolution.;screen;1;positive
232;The screen is very large and crystal clear with amazing colors and resolution.;colors;1;positive
233;The screen is very large and crystal clear with amazing colors and resolution.;resolution;1;positive
234;After a little more than a year of owning my MacBook Pro, the monitor has completely died.;monitor;0;negative
235;The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.;iTunes;1;positive
236;Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.;Size;0;negative
237;Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.;external monitor;2;neutral
238;Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.;base installation;0;negative
239;Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.;software;0;negative
240;  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).;manuf;0;negative
242;The display is incredibly bright, much brighter than my PowerBook and very crisp.;display;1;positive
243;The AMD Turin processor seems to always perform so much better than Intel.;AMD Turin processor;1;positive
244;The AMD Turin processor seems to always perform so much better than Intel.;Intel;0;negative
245;  After that the said it was under warranty.;warranty;2;neutral
246;The start menu is not the easiest thing to navigate due to the stacking.;start menu;0;negative
247;The start menu is not the easiest thing to navigate due to the stacking.;navigate;0;negative
248;Only thing I would want to add to this is an internal bluray read/write drive.;bluray read/write drive;0;negative
249;The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.;service tech;0;negative
250;The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.;tech store;0;negative
251;Really like the textured surface which shows no fingerprints.;surface;1;positive
252;The screen is bright and the keyboard is nice;;;
253;The screen is bright and the keyboard is nice;;;
254;But the machine is awesome and iLife is great and I love Snow Leopard X.;iLife;1;positive
255;But the machine is awesome and iLife is great and I love Snow Leopard X.;Snow Leopard X;1;positive
256;High price tag, however.;price tag;0;negative
257;I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.;Mac OS;1;positive
258;"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.";sound output quality;0;negative
259;I custom ordered the machine from HP and could NOT understand the techie due to his accent.;techie;0;negative
260;It is easy to use and lightweight.;use;1;positive
261;I went to Toshiba online help and found some suggestions to fix it.;Toshiba online help;1;positive
262;They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).;service life;1;positive
263;If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.;ports;2;neutral
264;If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.;processor;2;neutral
265;This laptop is a great price and has a sleek look.;price;1;positive
266;This laptop is a great price and has a sleek look.;look;1;positive
267;I especially like the keyboard which has chiclet type keys.;keyboard;1;positive
268;I especially like the keyboard which has chiclet type keys.;keys;1;positive
270;Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.;quality;0;negative
271;For the not so good, I got the stock screen - which is VERY glossy.;stock screen;0;negative
272;The gray color was a good choice.;gray color;1;positive
273;I would like to have volume buttons rather than the adjustment that is on the front.;volume buttons;0;negative
274;The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.;processor;0;negative
275;The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.;computing;0;negative
276;I bought a protector for my key pad and it works great :);protector;2;neutral
277;I bought a protector for my key pad and it works great :);key pad;1;positive
278;The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!;magnetic plug-in power charging power cord;1;positive
279;It seems they could have updated XP and done without creating Vista.;XP;1;positive
280;It seems they could have updated XP and done without creating Vista.;Vista;0;negative
281;  It is easy to use, fast and has great graphics for the money.;graphics;1;positive
282;  It is easy to use, fast and has great graphics for the money.;use;1;positive
283;I like how the Mac OS is so simple and easy to use.;Mac OS;1;positive
284;I like how the Mac OS is so simple and easy to use.;use;1;positive
285;While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.;support;1;positive
286;I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.;Geek Squad;1;positive
287;only good thing is the graphics quality.;graphics quality;1;positive
288;The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.;Appleworks;0;negative
289;The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.;browser;0;negative
290;The paint wears off easily due to the keyboard being farther back than usual.;paint;0;negative
291;The paint wears off easily due to the keyboard being farther back than usual.;keyboard;0;negative
292;I had purchased it from a major electronics store and took it to their service department to find out what the problem was.;service department;2;neutral
293;The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.;warrenty;1;positive
294;The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.;warrentys;0;negative
295;I always use a backup hard disk to store important files at all times.;hard disk;2;neutral
296;They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!;CD drive;0;negative
297;They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!;running;0;negative
298;But the screen size is not that bad for email and web browsing.;screen size;1;positive
299;But the screen size is not that bad for email and web browsing.;web browsing;2;neutral
300;Once I removed all the software the laptop loads in 15-20 seconds.;software;0;negative
301;Once I removed all the software the laptop loads in 15-20 seconds.;loads;2;neutral
302;On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.;trackpad;0;negative
303;On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.;external mouse;2;neutral
304;On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.;trackpad;0;negative
305;This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.;games;0;negative
306;"Obviously one of the most important features of any computer is the ""human interface.";features;2;neutral
307;"Obviously one of the most important features of any computer is the ""human interface.";human interface;2;neutral
308;"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).";inbuilt applications;0;negative
309;"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).";Software;0;negative
310;The body is a bit cheaply made so it will be interesting to see how long it holds up.;body;0;negative
311;The i5 blows my desktop out of the water when it comes to rendering videos.;i5;0;negative
