index;Text;Sentiment;sentiment_coded
55;@irweinerr #SaidNoOneEver;neutral;2
56;Antipasti aus den Super Zucchini von @CK_eins &amp;;
57;Nicht vergessen : Das bissige #Musical Vergnügen heute im König Albert Theater ! http://t.co/PAz7CH5Og0;neutral;2
58;den ganzen tag wildwasserbahn fahren war vielleicht doch nicht sooo gut ..;negative;0
59;@danieleicher PIN bitte per DM , welches Modell soll ich Dir kaufen ?;neutral;2
60;RT @_fluoreszent : warum sollte eine freund _ innenschaft nicht romantisch sein ?;neutral;2
61;Soziale Empfehlungen bald auch in #Google + möglich . #Update http://t.co/gtNKNFxl0r;neutral;2
62;"05:37 : "" If Today Was Your Last Day "" von Nickelback";neutral;2
63;Interessant dabei : Eine konkrete Person meint Cyrus offenbar nicht . Vielmehr scheint sie davon auszugehen , dass ... http://t.co/60iohvjfrc;neutral;2
64; Willkür öffentlich machen  : Mollath will Psychiatrie - Patienten helfen http://t.co/ai0MVw0L0R #Panorama;neutral;2
65;Time to sleep ... guten nacht ...;positive;1
66;@leslesss Heck yeah .. Buuffoonnn doin well . Forza Azzuri !;positive;1
67;@Gronkh Siehst heute echt gut aus ! Haste abgenommen ? #Elektrotitte;neutral;2
68;Onlinegame gratis Battlestar Galactica Space - Game http://t.co/roEQsFxmua einfach ausprobieren #Weltraum Battlestar Galactica;neutral;2
69;Wetter : Häufig sonnig , vereinzelt Schauer http://t.co/pB4dQWUsrl;neutral;2
70;. @KURIERat : Serie : Was braucht Österreich ? Aufträge an die Politik. http://t.co/bicX3xMFfZ #nrw13 Und brauchen auch irgendwelche Frauen was ?;neutral;2
71;@ChristianNbg @_klingebiel Kaputt nicht unbedingt . Aber man sollte eine Kaffeemaschine auch richtig benutzen :D;neutral;2
72;Facebook macht unglücklich . Könnt ihr das bestätigen ? :) #SocialMedia http://t.co/GcJb8VqQ5V via @meedia;positive;1
73;"Musikalische Sonne zum Wasserfest : "" I Come From The Sun "" gewinnen Bandcontest http://t.co/b8nfLEt7Gp #leipzig #liz";neutral;2
74;Nein : unterirdisch ! RT @ernke : Politisch bleibt also in Lübeck alles anders ...;negative;0
75;Melde mich dann morgen wieder . Geht früh los . Gute Nacht . :);positive;1
76;Ahhhh @1LIVE , bitte spielt ihn nochmal ok ? Danke :) #imascheregen #hinterland;positive;1
77;RT @RalphVoss : Wir Füchse stehen ja auf Listen . Danke , @Zora_Red !;neutral;2
78;Guten Morgen ! Draussen schon November - Licht . Da mag man gar nicht glauben , was gestern für schönes Wetter war ...;neutral;2
79;@schafzwitschern danke , nicht nötig , habe genug Fachliteratur hier .;neutral;2
80;RT @SuNoguchi : Schrott Ankauf Lahib ( http://t.co/lrguFNkX ) macht das Unmögliche möglich ;;
81;JETZT BUCHEN - Kochkurs Indische Küche am Mi . 18.09 . 13 ... http://t.co/mCGU54TYQz;neutral;2
82;Schon lange nicht mehr so intensiv geträumt und so lange geschlafen 😳;positive;1
83;@DerUebersteiger Ho - Ho - Hochverrat !;negative;0
84;Gesehen ...... http://t.co/elMi45JSX0;neutral;2
85;Eagles - Damen gegen Würzburg erfolgreich http://t.co/OWDp1HOk93 #leipzig #news;neutral;2
86;Macbook Air braucht sehr lange , um aus dem Sleep wieder aufzuwachen . Jemand Tipps ?;neutral;2
87;RT @tosepower : Alemania : Neuer , Lahm , Mertesacker , Boateng , Schmelzer , KHEDIRA , Kroos , Müller , Özil , Draxler , Klose .;neutral;2
88;@air_dal @mmarsching Auswirkungen des #om13gate ? Verstärkung vom Feminazgul - Flügel ? SCNR;neutral;2
89;Topfavorit Gatlin gewinnt 100  m : US - Star Justin Gatlin triumphierte in Linz - und wird auch nächstes Jahr wied ... http://t.co/Xs3VTG2xKF;neutral;2
90;@Raptilicus @DerTimsen @Die4Ever__De @wewius Wohl wahr , aber auch unvermeidlich .;neutral;2
91;@ChrisPakusch Sportlich , sportlich ! Gönn dir zwischen deinen ganzen Terminen auch eine Pause;positive;1
92;Gabriel : Kinder sollen Hausaufgaben ohne Hilfe erledigen;neutral;2
93;Die 9 Gag App funktioniert nicht . Rt if u crid;negative;0
94;Aktionsplan : Regierung beschliesst Hilfe für Menschen mit seltenen Krankheiten http://t.co/oJ3qy6dLh5 via @SPIEGELONLINE #gesundheit;neutral;2
95;Le Gourmand Vintage : 225  Liter : Handverlesene Winzer präsentieren ihre aktuellsten Tropfen http://t.co/EDuuiTtIGM;neutral;2
96;die kleine hörgalerie has phone number +49  7721  9167016 . Call now or check http://t.co/xyIdN8N6kT #KLEINE #VILLINGENSCHWENNINGEN;neutral;2
97; @sanitario_ : Ich bin so Scheisse drauf , #ich #könnte #glatt #anfangen , #hashtags #zu #nutzen !  Dito !;negative;0
98;@linux_frickler das is auch ganz ok ( mag das blaubeer lieber ) aber echt teuer;neutral;2
99;@recomedic Lieber Gruss an unsere Freunde in Polen aus dem Norden #Deutschland #Ostholstein;positive;1
100;@ShaSo1305 komm shaso nicht aufgeben ;;
101;#seitensprung Liebesbriefe : Fremdgehen und Freunde bleiben - Berliner Morgenpost : Berichte ueber Seitensprung ... http://t.co/Dj03vEHf4e;neutral;2
102;"Babybedarf : "" # 8: Playshoes 507136 - Ärmel - Lätzchen lang Arm , Giraffe "" http://t.co/ZHzGwn56N4 #Baby #Süss #Bedarf #Kleink ...";neutral;2
103;Da is aber jemand sehr zuversichtlich dass seine Mühle nicht geklaut wird ... http://t.co/LNNAzyi8cU;neutral;2
104;Erstellung dynamischer Weltkarten : jQuery - Mapael http://t.co/jklikC1KrD;neutral;2
105;@jens Richtig , grundsätzlich Hamburg . Kein Plan , ob Autor im Hamburger oder Berliner Büro sitzt . Am Ende schreiben immer Touristen ...;neutral;2
106;Unsicher ? Ich ? Da Lache ich doch . HA !;negative;0
107;@Ina_Steinbach @SPIEGELONLINE eben !;neutral;2
108;#innovation #BORT Zweizug Knöchelstütze medium blau http://t.co/RmxuhtYuEh;neutral;2
109;@migius Sieht doch sehr danach aus ! Welcome back .;neutral;2
110;"VideoBustour "" Filmstadt Potsdam - Das rollende Kino "" ab 3.  November jeden ersten Sonntag im Monat http://t.co/iSVohDoLhH";neutral;2
111;@stoff_hoff_show Ich muss mir eigentlich nur merken , ob der die Nadelposition 0.5 oder 0.8 ist ... Sollte eigentlich möglich sein :-);positive;1
112;Offene Kamine Design : Tipps für ein gutes Geschäft Herd mit Hilfe von Auction Web - Sites bekommen http://t.co/xvrJntfn9I;neutral;2
113;Miss my nicht;neutral;2
114;Wat . Diese Stella fandet ihr so hübsch ? Die sieht total durchschnittlich aus , aber okay. oO #LPTXXL;neutral;2
115;"Witzig ! Unbedingt auch dem Link folgen : "" Everyone Hates Your Out - of - Office Reply "" @99U http://t.co/6qjLvYZctW";neutral;2
116;[ News ] KILLER BE KILLED : neue Band um Musiker von SOULFLY , MASTODON THE DILLINGER ESCAPE PLAN http://t.co/1nizE08Qqf #vampster #metal;neutral;2
117;"@davidneuber Dein Folgen freut und ehrt mich . Muss nur gestehen , dass bei meinem "" Hurra "" - Tweet etwas an Ironie mitgeschwungen hat ";;
118;@JonasBe1 IKEA = Idioten Kaufen Einfach Alles :'D #Peace #NoHate hahah;positive;1
119;adesso : Deutlicher Ergebnissprung http://t.co/Yn6GFkUk6S 4 INVESTORS #Börse;neutral;2
120;@elisehippie nachooooooos !;positive;1
121;phil verstellt sich für seine freundin. kann ihn nich mehr ernstnehmen .;negative;0
122;@1886_GC 2-0 Toko :) war eine ganz starke Vorstellung !!! #Danke #GCZ;positive;1
123;Experte befürchtet höhere Benzinpreise wegen Meldestelle http://t.co/yPlvFOTnCJ;neutral;2
124;"Download @JerzeyRello - "" MAD "" [ Prod . Chris G ] @Chris_G_beatz http://t.co/gQYXkBVhSv #Retweet #Share #Like #Mad #Listen";neutral;2
125;Morgen in den ersten beiden #Sport . danach schön ne #Doppelstunde #Mathe hinterher. bis einschl . 8.  Std Unterricht #könntkotzen;negative;0
126;@whatthehelen3 im speechless;neutral;2
127;":) "" @Fir_Man1995 : @piyuupii guten tag auch :) """;positive;1
128;RT @Sex_Kontakt : #Black_Cat : Hey Du , was machst du so ? komm in den kostenlosen Sex Chat http://t.co/4YbH8bxRLX @sex_kontakt;neutral;2
129;Aargau : Ausländische Diebe sehr aktiv http://t.co/oZhAoNSBd8;neutral;2
130;"Das Meisenknödel auf Englisch also einfach "" Fat Balls "" heissen , wusste ich nicht . Wieder was gelernt .";neutral;2
131;RT @Tickets_Wien : Selena Gomez Dienstag , 17.09 . 2013 , 19:30 Wiener Stadthalle / Halle F , Wien , Österreich Tic #Events http://t.co/sSecfRfjhA;neutral;2
132;@Sturm_Fan . Duuuuu bist einfach waaaaahnsing toll &lt;;
133;@asp_net viel schlimmer #logik #verlage;negative;0
134;Immer schön langsam fahren http://t.co/lH96nzL6Ql #cdu #erftstadt #verkehr;neutral;2
135;Alle #Sexcam #Girls können kostenlos ausprobiert werden . Wir schenken dir unverbindlich #gratis #Coins http://t.co/SpVabSn4aQ;neutral;2
136;ich platze. das essen war so geil;positive;1
137;heute war echt schön :) super nette Menschen getroffen :) tzonlive danke für das Foto :) #videoday ... http://t.co/vgDv6vAxNZ;positive;1
138;@inooreicheru 🐴ソ;positive;1
139;Arzneimittel im Alter : Medikamente können krank machen http://t.co/4kGpjBeSvF;neutral;2
140;Selten benutztes Nexus 7 ( 2012 ) , Bluetooth - Tastatur + Case inkl . : Berlin | Verkaufe selten benutztes , fast neu ... http://t.co/kkhM4wy7en;neutral;2
141;FortiFX Fit Crunch Peanut Butter Protein Bar Review http://t.co/1ImDMdfvNl;neutral;2
142;@Duesenberg_ geil , abends Äpfel essen , morgens besoffen \ o /;positive;1
143;RT @MatthiasSachau : Irgend ein hoffnungsvoller Ost - Kabarettist hier , der noch einen Bühnennamen sucht ? Kevin Ostner . Bitte , gerne .;neutral;2
144;RT @HerthaBSC : 1:0 für Hertha BSC gegen Eintracht Frankfurt ! #TOOR;neutral;2
145;Miami Vice mit Don Johnson war früher viel cooler .;negative;0
146;Basketball : Phoenix Hagen nimmt den US - amerikanischen Big Man Keith Ramsey ( 25)  unter Vertrag. http://t.co/m7i0dPy3Gn @SportandoBasket;neutral;2
147;( Der Apostroph schwebt dort in voller Absicht. );negative;0
148;@carinaschrenk boah bitte Mach nd so den kindergarten sag doch einfach das I gemeint war und verkauf mi nd fûr dumm .;negative;0
149;Nase sitzt zu . Muss aufs Klo . Hasse es .;negative;0
150;Bei Bestätigung des Insolvenzplans sind unbekannte Forderungen nicht ausgeschlossen - Insolvenzrecht http://t.co/MRgsnhYyrG;neutral;2
151;MELDUNGEN : Shortlist für den Deutschen Buchpreis 2013 : Gerade frisch reingekommen : eine Meldung über die sechs ... http://t.co/1Uryp3JWZD;neutral;2
152;Einen schönen guten Morgen aus der Redaktion und einen angenehmen Start in den Tag http://t.co/UpThoK5Dc3;neutral;2
153;Wieland - Haustechnik verstärkt Aussendienst http://t.co/qFET7MPlhh;neutral;2
154;Endlich macht der Wahlkampf wieder Spass ! #fdp - #cdu + #allervollstesvertrauen #psycho @ZDF;positive;1
155;Weltbild zerstört : Tageziel erreicht ! RT @Miepception : Mein ganzes Weltbild ist jetzt im Arsch .;negative;0
156;@herrbench Lustig . Da hatten wir noch keine Plakate gedruckt . Du meinst wohl die Werbeuhr ?! Gut so , dass er sich da präsentiert . #Pätzold;neutral;2
157;"2.  Bundesliga - Hertha mit "" viel Schwung "" zum Start - Lasogga fehlt http://t.co/uTUDFQPxF6";neutral;2
158;@Piratenpartei ALLE Macht geht vom Volke aus ! Stoppt den #Faschismus , macht nicht noch mit .;neutral;2
159;Schaut so aus , als ob der Sommer vorbei ist . In diesem Sinne , auf a gute Riversurfherbstsaison ;;
160;@CGautschi aber hoffentlich keine Migräne ?;neutral;2
161;"Joa , hab ich mich halt voll auf die Fresse gelegt . - . - "" und jetzt tut mein Knöchel mordsweh : - - - - - )";negative;0
162;@Kartoffelmonsta warum kommen keine Videos mehr ? :'(;negative;0
163;Mesut Özil und Sami Khedira dürfen Real Madrid verlassen - noch heute - http://t.co/g1aSOFjFUR http://t.co/wKeIqjNKr7;neutral;2
164;@FrauWau happy Birthday , kleiner Plüsch !;positive;1
165;@wiesonett Wie immer werden es die #aufschrei - , #om13gate - , #maskugate - und #maskuleaks-Tanten abstreiten . Ich lache mich immer noch tot . :);positive;1
166;Sind pünktlich kurz nach Mondaufgang wachgeworden . Eine wunderschöne sternenklare Nacht - Faszinierende Fotos vom Mond gemacht🌘;positive;1
167;Kreditaktion - Kredit auch bei Schufa - Problemen : Aktion mit schneller , seriöser Abwicklung http://t.co/n3VQNt5ZTF;neutral;2
168;@yuht2go meiner nicht .. - . - Warte noch darauf , dass meine Tutorien ausgelost werden und die Chancen werden immer schlechter .. - . -;negative;0
169;RT @xsxslia : Omg @heidiklum wenn du das siehst bitte mach uns den Gefallen !!!! #HeidiKlumbittegrüsseOneDirectionvondeutschenDirectionern;neutral;2
170;Flauschigen Bademantel zu Ihrer Bestellung gratis dazu http://t.co/phsTipGmxE #Geschenk;neutral;2
171; Habe keine Ahnung - Mutti wirds schon richten !  deshalb #CDU - #FDP - #SPD - #GRÜNE - uns natürlich #AfD + für ein ... http://t.co/8iSdSIVyYo;neutral;2
172;Fussball 3.  Liga : Stuttgarter Kickers : Buchwald bestätigt Rücktritt http://t.co/EFOTyaU6BB;neutral;2
173;Schönes VERSACE Gladiatoren - Kleid aus der Frühlins - / Sommerkollektion 2012  aus Neoprene und Leder mit http://t.co/9eAGkBZMaZ;neutral;2
174;Calvin Klein Men ' s X Extreme Slim Fit Multi http://t.co/Rjh418pGtF #Calvin #Extreme #Klein #Men's #Multi #Slim;neutral;2
175;1.  Bundesliga ( 20:10 ) - Schade : ' ' Würden Wiederholungsspiel akzeptieren ' ' : Bayer Leverkusen wird sich am Monta ... http://t.co/b5ROhQ2IK3;neutral;2
176;Hat mal bitte jemand einen Twitter Invite für mich ?;neutral;2
177;übrigens sind das im neuen nintendo 2 ds keine zwei separaten bildschirme , sondern nur ein ( ! ) grosser ... http://t.co/E4WMMrwLqq;neutral;2
178;Hohe Margen bei Medikamenten http://t.co/yKpKaTtCXe;neutral;2
179;"Nein ! Das war noch nicht genug Halloween Soundtrack ! Timeless feat . Johnny Pepp mit "" Halloween "" . http://t.co/JUUksialpn";neutral;2
180;Dienstag nach 18  Uhr in Handwerkersprech bedeutet also überübernächsten Dienstag vor 9 Uhr .;neutral;2
181;@Mr_Lovecraft Angeschossen ? Alter Falter , schwache Leistung :( @klauskrefeld;negative;0
182;Endlich : Evolutionstheorie widerlegt ! http://t.co/9wJTO5QriZ;neutral;2
183; Hey Derek , sprechen sie dick ;neutral;2
184;( Das erste war ich und das zweite mein Vater. );neutral;2
185;"Quote ? Wieso nicht Fähigkeiten ? Was bringt eine Erfüllung der Quote mit "" schlechter Arbeit "" ? #Piraten";neutral;2
186;Soo . Die #22UhrNonMention ' s dürfen nun beginnen ... meins war schon . Zu früh . Besser als gar nich .;negative;0
187;@macdatti dasisaberschade;negative;0
188;@BerlinBritta @HBisdorf ich glaub ' s nicht - I'm going down läuft im Hintergrund . Die Götter sind mir gnädig gestimmt :-));positive;1
189;"RT @justizskandale : ZEIT : "" Ist Gustl #Mollath gesund , Herr #Strate ? "" Gegenfrage : "" Sind Sie gesund , Frau Rückert , Herr Wefing ? "" http://t.co / ...";neutral;2
190;Über 1.000 MP3 - #Alben für je 3,99 EUR bei Amazon | http://t.co/bWdy6dJjhU;neutral;2
191;Der #Griesebertschaeler muss mal wieder Luft durch die Ohren ziehen lassen , los Hopp aufs Balkönchen alter Mann;neutral;2
192;Reichen oder besser LÜCKENFÜLLTWEET I'm at Raststätte Miese Briese hab Bock auf McNuggets Edge .;neutral;2
193;Scheisse Remix♥;negative;0
194;@iRuttzman @iRuttzman Tiger Woods niece ...;positive;1
195;@popela_ also das geht gar nich sowas . Bei ihrem Chef müsste man sich beschweren . Die Frau soll ihr was beibringen u is so drauf .;negative;0
196;@ElorieLindir @19kittycat79 Warte ab . ... YT macht keine Gefangenen . ;;
197;Ok , Verzeihung .;positive;1
198;*** BILDplus Inhalt *** Fälle , Urteile &amp;;
199;BenQ G2222HDL TFT Flachbildschirm 21,5 Zoll : Startseite | Hallo habe hier einen sehr guten TFT LED Flachbildsc ... http://t.co/Oe0etpyoUO;neutral;2
200;Oh ja - . - Sehr hilfreich mit Hunger Epic Meal Time zu gucken ... well done Laura .. well done ..;negative;0
201;@himonew Amine weisse was bitte denk einfach einmal pervers;neutral;2
202;@bladiblub besser wirds dadurch leider auch nicht ;;
203;@chrissi_cage Untersteh dich !;neutral;2
204;New post : KS : Baunatal : Geldwechseltrick : Geschickter Dieb klaute unbemerkt 250 , - Euro aus Portmonee http://t.co/f3FusfF0YB;neutral;2
205;Sarung laptop pon blh sue .. haha;positive;1
206; Schweizer Mr. Bean  : Tollpatschiger Journalist zerstört wertvolles Kunstwerk http://t.co/Ai5bozi0im;neutral;2
207;# 3:  Kindle Paperwhite [ Vorgängermodell ] , 15  cm ( 6 Zoll ) hochauflösendes Display mit integrierter Beleuchtung , ... http://t.co/hTCS83hxLG;neutral;2
208;"RT @franzalt : "" Charta zur sozial gerechten Energiewende "" vorgestellt http://t.co/6v6J9qChdg";neutral;2
209; @PloedeQ : Sie wird wohl Dreck am stecken haben .. #merkelphone http://t.co/6I2ubamlWJ  True !;negative;0
210;#love #fun #kiss #Blümchen #winter #kalt #pink #weiss #blau #bla #bli #blub #blub #ich lass #mich #fallen #lächeln ... http://t.co/sH8QrC9UCu;neutral;2
211;Ich würde mir selbst nicht schreiben .;negative;0
212;Gute Besserung @Thi_Alcantara91 - get well soon ! #FCB;positive;1
213;Wasserschlacht von Gladbach heute ? #skybuli #bmgsge;neutral;2
214;@mc_flausch hehehe ;;
215;@ofmiceandleaa woahaaa geil lea :) das muss echt ein geiles Gefühl sein . Krass . Glückwunsch :');positive;1
216;#Porsche , #911 , #997 : Windschott gebrochen http://t.co/KlGkGV9BXd;neutral;2
217;Station : Angelroda , Temp : 14.2 °C , Wind : 0.0 km / h , Luftdruck : 1015.8 hpa , Niederschlag : 0.0 mm , Mehr Wetter unter http://t.co/P40WtenxKS;neutral;2
218;@oberbitch schlaf jut Alte .;neutral;2
219;Guten morgen ... Freu mich auf Samstag und bin gespannt was ihr zu TRX sagt ...;positive;1
220;@KurtKrauss @michelle_motuz 😦;negative;0
221;RT @zaynasm : @RukiyeMalik oh du glückliche hast zayn / 5 congrates. crying right now;positive;1
222;Ehemann Nummer zwei : Was sagt Kris Humphries zu Kims Verlobung ? #KimKardashian #KanyeWest #KrisHumphries http://t.co/J4JG90Cqjs;neutral;2
223;So sieht der perfekte Social - Media - Beitrag aus - Meedia http://t.co/9qT2b5Jry9 #SocialMedia;positive;1
224;Photo : Neue Westfälische ( Bielefeld ): Kässmann : Luther hinterliess ein schweres Erbe Neue Westfälische ... http://t.co/Weg9c08xbI;neutral;2
225;@TheKedosZone Und , auch wenns sich komisch anhört , blaue Dinge angucken . Die Farbe entspannt das Auge . :);positive;1
226;Studie : Kita macht Erzieherinnen krank - RP ONLINE : RP ONLINEStudie : Kita macht Erzieherinnen krankRP ONLINENo ... http://t.co/UEd5oCZoNh;neutral;2
227;"Die Lobby des neuen #HiltonFrankfurt AirportHotel "" The Squaire "" wurde aufwändig mit #Capadecor Metallocryl gestaltet : http://t.co/JAKdJXiaXQ";neutral;2
228;Anlage voll aufdrehn bis meine Mutter wütend ins Zimmer reinplatzt ! #läuft;neutral;2
229;@G_Joshhh Fuckin brilliant Einstein , ,;neutral;2
230;"#yoshihoka_now "" Symphony No . 4 in G major : 1.  Bedächtig , nicht eilen "" by Tonhalle Orchester Zürich on album "" Mahler : Symphony No . 4 """;neutral;2
231;@Illuminatus23 @Doktor_FreakOut @mundauf lieber Staatskasse . Weiterhin Abschaffung der Beitragsbemessungsgrenze .;neutral;2
232;Weltbild holt Umbau - Experten an Bord : Josef Schultheis wird Geschäftsführer Restrukturierung http://t.co/S7PfHapsD0;neutral;2
233;Hör mal , wer da hämmert - Bote vom Hassgau http://t.co/A3zJD7MCzr;neutral;2
234;"@iZerf im Herbst stellt man die Uhr zurück . "" Im Frühling stelle ich die Gartenmöbel VOR das Haazs im Herbst ZURÜCK "" :-)";neutral;2
235;@EddyElfenbein SOLD !!;neutral;2
236;Liebe @Swisscom_Care sprengt ein fussballspiel via tv air übers handy ohne wlan die rechnung ? Hab noch 16  MB Restdatavolumen;neutral;2
237;Ach verdammt . Nich gross genug ! - . - ( @YouTube http://t.co/byZFucfphC );negative;0
238;Aha , wer bis 15  nicht lesen kann , soll das also bis 18  können ... Schrecklich , diese Hilflosigkeit .... #övp;negative;0
239;@CountryWithAmy Sieht sehr lecker aus :-);positive;1
240;" @SimplyMfJanay__ :  @__ChelleChelle : . If I Ever Die These Hoes Gone Be Happy Asf. ! "" """;negative;0
241;@iwona_w @Vliconaleash Alkohol siedet bei 78 C , das macht also keinen Unterschied .;neutral;2
242;Good morning Nice ! #cotedazur @ Bambou Plage http://t.co/I31P6EoCGS;positive;1
243;@ValentinMoeller @felixba Fast genauso gut , nur moderner . ^ ^;positive;1
