;index;sentence;label;;;index;sentence;generated_label
36;36;it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ;1;;36;36;it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ;1
37;37;heroes ;1;;37;37;heroes ;1
38;38;oblivious to the existence of this film ;0;;38;38;oblivious to the existence of this film ;0
39;39;sharply ;1;;39;39;sharply ;0
40;40;the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ;0;;40;40;the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ;0
41;41;sometimes dry ;0;;41;41;sometimes dry ;0
42;42;as they come , already having been recycled more times than i 'd care to count ;0;;42;42;as they come , already having been recycled more times than i 'd care to count ;0
43;43;covers this territory with wit and originality , suggesting that with his fourth feature ;1;;43;43;covers this territory with wit and originality , suggesting that with his fourth feature ;1
44;44;a $ 40 million version of a game ;0;;44;44;a $ 40 million version of a game ;0
45;45;gorgeous and deceptively minimalist ;1;;45;45;gorgeous and deceptively minimalist ;1
46;46;cross swords with the best of them and ;1;;46;46;cross swords with the best of them and ;1
47;47;as a fringe feminist conspiracy theorist ;0;;47;47;as a fringe feminist conspiracy theorist ;0
48;48;proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ;1;;48;48;proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ;1
49;49;disappointments ;0;;49;49;disappointments ;0
50;50;the horrors ;0;;50;50;the horrors ;0
51;51;a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ;1;;51;51;a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ;1
52;52;many pointless ;0;;52;52;many pointless ;0
53;53;a beautifully ;1;;53;53;a beautifully ;1
54;54;contrived , well-worn situations ;0;;54;54;contrived , well-worn situations ;0
55;55;a doa ;0;;55;55;a doa ;0
56;56;poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ;0;;56;56;poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ;0
57;57;to be as subtle and touching as the son 's room ;1;;57;57;to be as subtle and touching as the son 's room ;1
58;58;starts with a legend ;1;;58;58;starts with a legend ;0
59;59;far less sophisticated and ;0;;59;59;far less sophisticated and ;0
60;60;rich veins of funny stuff in this movie ;1;;60;60;rich veins of funny stuff in this movie ;1
61;61;no apparent joy ;0;;61;61;no apparent joy ;0
62;62;shot on ugly digital video ;0;;62;62;shot on ugly digital video ;0
63;63;... a sour little movie at its core ;;;63;63;... a sour little movie at its core ;
64;64;though ford and neeson capably hold our interest , but its just not a thrilling movie ;0;;64;64;though ford and neeson capably hold our interest , but its just not a thrilling movie ;0
65;65;is pretty damned funny . ;1;;65;65;is pretty damned funny . ;1
66;66;we never feel anything for these characters ;0;;66;66;we never feel anything for these characters ;0
67;67;'s a lousy one at that ;0;;67;67;'s a lousy one at that ;0
68;68;the corporate circus that is the recording industry in the current climate of mergers and downsizing ;0;;68;68;the corporate circus that is the recording industry in the current climate of mergers and downsizing ;0
69;69;the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ;1;;69;69;the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ;1
70;70;of the most highly-praised disappointments i ;0;;70;70;of the most highly-praised disappointments i ;0
71;71;sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ;0;;71;71;sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ;0
72;72;seem fresh ;1;;72;72;seem fresh ;1
73;73;to the dustbin of history ;0;;73;73;to the dustbin of history ;0
74;74;as a director , eastwood is off his game ;0;;74;74;as a director , eastwood is off his game ;0
75;75;pays earnest homage to turntablists ;1;;75;75;pays earnest homage to turntablists ;1
76;76;weak and ;0;;76;76;weak and ;0
77;77;skip this dreck , ;0;;77;77;skip this dreck , ;0
78;78;contains very few laughs and even less surprises ;0;;78;78;contains very few laughs and even less surprises ;0
79;79;film to affirm love 's power to help people endure almost unimaginable horror ;1;;79;79;film to affirm love 's power to help people endure almost unimaginable horror ;1
80;80;are an absolute joy ;1;;80;80;are an absolute joy ;1
81;81;generates ;1;;82;82;, like life , is n't much fun without the highs and lows ;1
82;82;, like life , is n't much fun without the highs and lows ;1;;83;83;based on a true and historically significant story ;1
83;83;based on a true and historically significant story ;1;;84;84;well-rounded tribute ;1
84;84;well-rounded tribute ;1;;85;85;, though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ;0
85;85;, though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ;0;;86;86;so much like a young robert deniro ;1
86;86;so much like a young robert deniro ;1;;87;87;khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ;1
87;87;khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ;1;;88;88;fashioning an engrossing entertainment out ;1
88;88;fashioning an engrossing entertainment out ;1;;89;89;spiffy animated feature ;1
89;89;spiffy animated feature ;1;;90;90;that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ;0
90;90;that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ;0;;91;91;alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ;1
91;91;alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ;1;;92;92;strung-together moments ;1
92;92;strung-together moments ;0;;93;93;, generous and subversive artworks ;1
93;93;, generous and subversive artworks ;1;;94;94;it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ;1
94;94;it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ;1;;95;95;funny yet ;1
95;95;funny yet ;1;;96;96;overbearing and over-the-top ;0
96;96;overbearing and over-the-top ;0;;97;97;it 's robert duvall ! ;1
97;97;it 's robert duvall ! ;1;;98;98;rich and sudden wisdom ;1
98;98;rich and sudden wisdom ;1;;99;99;acted and directed , it 's clear that washington most certainly has a new career ahead of him ;1
99;99;acted and directed , it 's clear that washington most certainly has a new career ahead of him ;1;;100;100;in memory ;0
100;100;in memory ;1;;101;101;respectable new one ;1
101;101;respectable new one ;1;;102;102;yet this grating showcase ;0
102;102;yet this grating showcase ;0;;103;103;hate to tear your eyes away from the images long enough to read the subtitles ;0
103;103;hate to tear your eyes away from the images long enough to read the subtitles ;1;;104;104;addition to sporting one of the worst titles in recent cinematic history ;0
104;104;addition to sporting one of the worst titles in recent cinematic history ;0;;105;105;, this gender-bending comedy is generally quite funny . ;1
105;105;, this gender-bending comedy is generally quite funny . ;1;;106;106;build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ;0
106;106;build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ;0;;107;107;do n't work in concert ;0
107;107;do n't work in concert ;0;;108;108;the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ;1
108;108;the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ;1;;109;109;would have liked it more if it had just gone that one step further ;0
109;109;would have liked it more if it had just gone that one step further ;1;;110;110;it 's too harsh to work as a piece of storytelling , ;0
110;110;it 's too harsh to work as a piece of storytelling , ;0;;111;111;hawaiian shirt ;1
111;111;hawaiian shirt ;1;;112;112;takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ;1
112;112;takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ;1;;113;113;provide its keenest pleasures ;1
113;113;provide its keenest pleasures ;1;;114;114;altogether too slight to be called any kind of masterpiece ;0
114;114;altogether too slight to be called any kind of masterpiece ;0;;115;115;grievous but ;0
115;115;grievous but ;0;;116;116;after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ;0
116;116;after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ;0;;117;117;hopeless ;0
117;117;hopeless ;0;;118;118;unpretentious , charming , quirky , original ;1
118;118;unpretentious , charming , quirky , original ;1;;119;119;nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ;0
119;119;nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ;0;;120;120;very well-written and very well-acted . ;1
120;120;very well-written and very well-acted . ;1;;121;121;are n't many conclusive answers in the film ;0
121;121;are n't many conclusive answers in the film ;0;;122;122;clumsy dialogue , heavy-handed phoney-feeling sentiment , ;0
122;122;clumsy dialogue , heavy-handed phoney-feeling sentiment , ;0;;123;123;proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ;0
123;123;proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ;0;;124;124;bring tissues . ;0
124;124;bring tissues . ;1;;125;125;the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ;0
125;125;the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ;0;;126;126;brings the proper conviction to his role as ( jason bourne ) . ;1
126;126;brings the proper conviction to his role as ( jason bourne ) . ;1;;127;127;as a young woman of great charm , generosity and diplomacy ;1
127;127;as a young woman of great charm , generosity and diplomacy ;1;;128;128;there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ;1
128;128;there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ;1;;129;129;just too silly ;0
129;129;just too silly ;0;;130;130;cinematic bon bons ;1
130;130;cinematic bon bons ;1;;131;131;it is supremely unfunny and unentertaining to watch middle-age and ;0
131;131;it is supremely unfunny and unentertaining to watch middle-age and ;0;;132;132;a lively and engaging examination of how similar obsessions can dominate a family . ;1
132;132;a lively and engaging examination of how similar obsessions can dominate a family . ;1;;133;133;irritates and ;0
133;133;irritates and ;0;;134;134;collapse ;0
134;134;collapse ;0;;135;135;so many of the challenges it poses for itself that one can forgive the film its flaws ;1
135;135;so many of the challenges it poses for itself that one can forgive the film its flaws ;1;;136;136;, it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ;1
136;136;, it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ;1;;137;137;wide-awake all the way through ;1
137;137;wide-awake all the way through ;1;;138;138;( vainly , i think ) ;0
138;138;( vainly , i think ) ;0;;139;139;is one big excuse to play one lewd scene after another . ;0
139;139;is one big excuse to play one lewd scene after another . ;0;;140;140;is effective if you stick with it ;1
140;140;is effective if you stick with it ;1;;141;141;that underscore the importance of family tradition and familial community ;1
141;141;that underscore the importance of family tradition and familial community ;1;;142;142;delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ;1
142;142;delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ;1;;143;143;watching this digital-effects-heavy , supposed family-friendly comedy ;0
143;143;watching this digital-effects-heavy , supposed family-friendly comedy ;0;;144;144;absolutely and completely ridiculous and ;0
144;144;absolutely and completely ridiculous and ;0;;145;145;'s a very tasteful rock and roll movie . ;1
145;145;'s a very tasteful rock and roll movie . ;1;;146;146;the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ;0
146;146;the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ;0;;147;147;realistic portrayal ;1
147;147;realistic portrayal ;1;;148;148;as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ;0
148;148;as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ;0;;149;149;well-thought stunts or ;0
149;149;well-thought stunts or ;1;;150;150;reveals how important our special talents can be when put in service of of others . ;1
150;150;reveals how important our special talents can be when put in service of of others . ;1;;151;151;no lika da ;0
151;151;no lika da ;0;;152;152;a welcome relief ;1
152;152;a welcome relief ;1;;153;153;the promise of digital filmmaking ;1
153;153;the promise of digital filmmaking ;1;;154;154;just one that could easily wait for your pay per view dollar ;0
154;154;just one that could easily wait for your pay per view dollar ;0;;155;155;justify a theatrical simulation of the death camp of auschwitz ii-birkenau ;0
155;155;justify a theatrical simulation of the death camp of auschwitz ii-birkenau ;0;;156;156;extraordinary faith ;1
156;156;extraordinary faith ;1;;157;157;have i seen a film so willing to champion the fallibility of the human heart ;1
157;157;have i seen a film so willing to champion the fallibility of the human heart ;1;;158;158;, sometimes beautiful adaptation ;1
158;158;, sometimes beautiful adaptation ;1;;159;159;about as interesting ;0
159;159;about as interesting ;0;;160;160;caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ;1
160;160;caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ;1;;161;161;overlong , and bombastic ;0
161;161;overlong , and bombastic ;0;;162;162;derivative and hammily ;0
162;162;derivative and hammily ;0;;163;163;most audacious , outrageous , ;0
163;163;most audacious , outrageous , ;1;;164;164;at its best moments ;1
164;164;at its best moments ;1;;165;165;disney again ransacks its archives for a quick-buck sequel . ;0
165;165;disney again ransacks its archives for a quick-buck sequel . ;0;;166;166;that final , beautiful scene ;1
166;166;that final , beautiful scene ;1;;167;167;some movies suck you in despite their flaws , ;1
167;167;some movies suck you in despite their flaws , ;1;;168;168;eats , meddles , argues , laughs , kibbitzes and fights ;0
168;168;eats , meddles , argues , laughs , kibbitzes and fights ;1;;169;169;the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ;0
169;169;the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ;0;;170;170;, compelling ;1
170;170;, compelling ;1;;171;171;infectiously ;1
171;171;infectiously ;1;;172;172;the picture runs a mere 84 minutes , but it 's no glance . ;0
172;172;the picture runs a mere 84 minutes , but it 's no glance . ;1;;173;173;think of this dog of a movie ;0
173;173;think of this dog of a movie ;0;;174;174;'s remarkable procession of sweeping pictures that have reinvigorated the romance genre . ;1
174;174;'s remarkable procession of sweeping pictures that have reinvigorated the romance genre . ;1;;175;175;those so-so films that could have been much better ;0
175;175;those so-so films that could have been much better ;0;;176;176;a passable date film ;0
176;176;a passable date film ;1;;177;177;imax in short ;0
177;177;imax in short ;1;;178;178;i hate it . ;0
178;178;i hate it . ;0;;179;179;'s pleasant enough -- and oozing with attractive men ;1
179;179;'s pleasant enough -- and oozing with attractive men ;1;;180;180;no one involved , save dash , shows the slightest aptitude for acting ;0
180;180;no one involved , save dash , shows the slightest aptitude for acting ;0;;181;181;in this wildly uneven movie ;0
181;181;in this wildly uneven movie ;0;;182;182;pokes , provokes , takes expressionistic license ;0
182;182;pokes , provokes , takes expressionistic license ;1;;183;183;like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ;0
183;183;like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ;0;;184;184;with color and depth , and rather a good time ;1
184;184;with color and depth , and rather a good time ;1;;185;185;silly , outrageous , ingenious ;1
185;185;silly , outrageous , ingenious ;1;;186;186;being able to hit on a 15-year old when you 're over 100 ;0
186;186;being able to hit on a 15-year old when you 're over 100 ;0;;187;187;the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ;0
187;187;the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ;0;;188;188;the year 's best and most unpredictable comedy ;1
188;188;the year 's best and most unpredictable comedy ;1;;189;189;starts off so bad that you feel like running out screaming ;0
189;189;starts off so bad that you feel like running out screaming ;0;;190;190;men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ;0
190;190;men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ;0;;191;191;elvira fans could hardly ask for more . ;1
191;191;elvira fans could hardly ask for more . ;1;;192;192;a good one ;1
192;192;a good one ;1;;193;193;, plodding picture ;0
193;193;, plodding picture ;0;;194;194;the character dramas , which never reach satisfying conclusions ;0
194;194;the character dramas , which never reach satisfying conclusions ;0;;195;195;lost in the translation this time ;0
195;195;lost in the translation this time ;0;;196;196;speak for it while it forces you to ponder anew what a movie can be ;1
196;196;speak for it while it forces you to ponder anew what a movie can be ;1;;197;197;enables shafer to navigate spaces both large ... and small ... with considerable aplomb ;1
197;197;enables shafer to navigate spaces both large ... and small ... with considerable aplomb ;1;;198;198;a plot cobbled together from largely flat and uncreative moments ;0
198;198;a plot cobbled together from largely flat and uncreative moments ;0;;199;199;inane and awful ;0
199;199;inane and awful ;0;;200;200;told in scattered fashion ;0
200;200;told in scattered fashion ;0;;201;201;takes chances that are bold by studio standards ;1
201;201;takes chances that are bold by studio standards ;1;;202;202;believe it or not , jason actually takes a backseat in his own film to special effects ;0
202;202;believe it or not , jason actually takes a backseat in his own film to special effects ;0;;203;203;only thing to fear about `` fear dot com '' ;0
203;203;only thing to fear about `` fear dot com '' ;0;;204;204;whole mess ;0
204;204;whole mess ;0;;205;205;manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ;1
205;205;manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ;1;;206;206;working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . ;1
206;206;working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . ;1;;207;207;a résumé loaded with credits like `` girl in bar # 3 ;0
207;207;a résumé loaded with credits like `` girl in bar # 3 ;0;;208;208;enjoy the ride ;1
208;208;enjoy the ride ;1;;209;209;very little to add beyond the dark visions already relayed by superb recent predecessors ;0
209;209;very little to add beyond the dark visions already relayed by superb recent predecessors ;0;;210;210;the , yes , snail-like pacing ;0
210;210;the , yes , snail-like pacing ;0;;211;211;an extremely unpleasant film . ;0
211;211;an extremely unpleasant film . ;0;;212;212;if it is n't entirely persuasive , it does give exposure to some talented performers ;1
212;212;if it is n't entirely persuasive , it does give exposure to some talented performers ;1;;213;213;the whole affair , true story or not , feels incredibly hokey ... ;0
213;213;the whole affair , true story or not , feels incredibly hokey ... ;0;;214;214;are all things we 've seen before ;0
214;214;are all things we 've seen before ;0;;215;215;poignant and leavened ;1
215;215;poignant and leavened ;1;;216;216;breathless anticipation ;1
216;216;breathless anticipation ;1;;217;217;significantly better ;1
217;217;significantly better ;1;;218;218;as predictable as the tides ;1
218;218;as predictable as the tides ;0;;219;219;bewilderingly brilliant and entertaining ;1
219;219;bewilderingly brilliant and entertaining ;1;;220;220;it 's smooth and professional ;1
220;220;it 's smooth and professional ;1;;221;221;, unassuming , subordinate ;0
221;221;, unassuming , subordinate ;0;;222;222;the horror ;0
222;222;the horror ;0;;223;223;a technically superb film ;1
223;223;a technically superb film ;1;;224;224;the positive change in tone here seems to have recharged him . ;1
224;224;the positive change in tone here seems to have recharged him . ;1;;225;225;pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ;1
225;225;pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ;1;;226;226;a dim ;0
226;226;a dim ;0;;227;227;, vicious and absurd ;0
227;227;, vicious and absurd ;0;;228;228;because he acts so goofy all the time ;0
228;228;because he acts so goofy all the time ;0;;229;229;to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ;1
229;229;to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ;1;;230;230;'s at once laughable and compulsively watchable , ;1
230;230;'s at once laughable and compulsively watchable , ;1;;231;231;merit its 103-minute length ;1
231;231;merit its 103-minute length ;1;;232;232;the value and respect for the term epic cinema ;1
232;232;the value and respect for the term epic cinema ;1;;233;233;as a dentist 's waiting room ;0
233;233;as a dentist 's waiting room ;0;;234;234;showing honest emotions ;1
234;234;showing honest emotions ;1;;235;235;amazingly lame . ;0
235;235;amazingly lame . ;0;;236;236;confessions may not be a straightforward bio ;0
236;236;confessions may not be a straightforward bio ;0;;237;237;seems a disappointingly thin slice of lower-class london life ;
237;237;seems a disappointingly thin slice of lower-class london life ;;;238;238;the story is bogus and ;0
238;238;the story is bogus and ;0;;239;239;this comic gem is as delightful as it is derivative . ;0
239;239;this comic gem is as delightful as it is derivative . ;1;;240;240;to spare wildlife ;1
240;240;to spare wildlife ;1;;241;241;ugly as the shabby digital photography ;0
241;241;ugly as the shabby digital photography ;0;;242;242;understand the difference between dumb fun and just plain dumb ;0
242;242;understand the difference between dumb fun and just plain dumb ;0;;243;243;traditionally structured ;0
243;243;traditionally structured ;1;;244;244;frida is n't that much different from many a hollywood romance . ;0
244;244;frida is n't that much different from many a hollywood romance . ;0;;245;245;does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ;1
245;245;does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ;1;;246;246;are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ;1
246;246;are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ;1;;247;247;was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ;0
247;247;was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ;0;;248;248;carnage and ;0
248;248;carnage and ;0;;249;249;degraded , handheld blair witch video-cam footage ;0
249;249;degraded , handheld blair witch video-cam footage ;0;;250;250;second fiddle ;0
250;250;second fiddle ;0;;251;251;about the folly of superficiality that is itself ;0
251;251;about the folly of superficiality that is itself ;0;;252;252;serves as auto-critique , and its clumsiness as its own most damning censure . ;0
252;252;serves as auto-critique , and its clumsiness as its own most damning censure . ;0;;253;253;tedious norwegian offering which somehow snagged an oscar nomination . ;0
253;253;tedious norwegian offering which somehow snagged an oscar nomination . ;0;;254;254;, esther kahn is unusual but unfortunately also irritating . ;0
254;254;, esther kahn is unusual but unfortunately also irritating . ;0;;255;255;a stylish exercise ;1
255;255;a stylish exercise ;1;;256;256;halfway through this picture i was beginning to hate it ;0
256;256;halfway through this picture i was beginning to hate it ;0;;257;257;a setup so easy it borders on facile ;0
257;257;a setup so easy it borders on facile ;0;;258;258;a thoroughly awful movie ;0
258;258;a thoroughly awful movie ;0;;259;259;takes hold and grips hard ;0
259;259;takes hold and grips hard ;1;;260;260;look smeary and blurry , to the point of distraction ;0
260;260;look smeary and blurry , to the point of distraction ;0;;261;261;the picture 's fascinating byways ;1
261;261;the picture 's fascinating byways ;1;;262;262;guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ;0
262;262;guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ;0;;263;263;breezy , distracted rhythms ;1
263;263;breezy , distracted rhythms ;0;;264;264;than this mess ;0
264;264;than this mess ;0;;265;265;evanescent , seamless and sumptuous stream ;1
265;265;evanescent , seamless and sumptuous stream ;1;;266;266;slick and manufactured to claim street credibility . ;0
266;266;slick and manufactured to claim street credibility . ;1;;267;267;take care is nicely performed by a quintet of actresses , ;1
267;267;take care is nicely performed by a quintet of actresses , ;1;;268;268;valuable messages ;1
268;268;valuable messages ;1;;269;269;in no small part thanks to lau ;1
269;269;in no small part thanks to lau ;1;;270;270;two guys who desperately want to be quentin tarantino when they grow up ;0
270;270;two guys who desperately want to be quentin tarantino when they grow up ;0;;271;271;no new plot conceptions ;0
271;271;no new plot conceptions ;0;;272;272;essentially a collection of bits -- ;0
272;272;essentially a collection of bits -- ;0;;273;273;does n't bode well for the rest of it ;0
273;273;does n't bode well for the rest of it ;0;;274;274;elevated by it -- the kind of movie ;1
